store_id,name_nagoya,catch,star,review,pop_score,price_lunch,price_dinner,address,link_detail
23066944,川次,"
              【地下鉄東山線栄駅徒歩3分!!】鰻がお値打ちで食べられるお店!!
            ",3.43,127,16.642463805244287,1000.0,2000.0," 栄（名古屋）駅 256m / うなぎ、牛料理、丼
            ",https://tabelog.com/aichi/A2301/A230103/23066944/
23000173,ひつまぶし名古屋備長 ラシック店,"
              素材と炭にこだわった絶妙な加減で焼き上げる名古屋名物『ひつまぶし』と『愛知の地酒』を堪能。
            ",3.45,426,20.895904845638757,3000.0,5000.0," 栄（名古屋）駅 296m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230103/23000173/
23066897,ひつまぶし名古屋備長 金シャチ横丁店,"
              名古屋城すぐ！人気観光スポットで味わう名古屋名物「ひつまぶし」
            ",3.33,124,16.078284745216664,3000.0,5000.0," 名古屋城駅 598m / うなぎ、日本料理、郷土料理
            ",https://tabelog.com/aichi/A2301/A230103/23066897/
23001424,ひつまぶし 稲生 エスカ店,"
              【創業33年】名古屋駅直結。名古屋名物ひつまぶしを食べるなら当店で。
            ",3.59,1194,25.43838625707254,2000.0,2000.0," 名古屋駅 121m / うなぎ、かつ丼、天丼
            ",https://tabelog.com/aichi/A2301/A230101/23001424/
23089069,うなぎのお多福 栄本店,"
              【老舗うなぎ店監修】技術指導を受け細部にまで拘った非日常の鰻料理を日常価格で。
            ",3.39,73,14.590780665962138,2000.0,2000.0," 矢場町駅 476m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230103/23089069/
23086265,うな誠 上飯田店,"
              上飯田駅 2番出口 徒歩30秒！2階座敷・半個室あり！
            ",3.48,16,9.859582437315632,2000.0,3000.0," 上飯田駅 37m / うなぎ、海鮮丼、居酒屋
            ",https://tabelog.com/aichi/A2301/A230110/23086265/
23071406,うなキング,,3.18,60,13.072578888071131,,3000.0," 国際センター駅 417m / 立ち飲み、うなぎ、海鮮
            ",https://tabelog.com/aichi/A2301/A230101/23071406/
23000105,炭焼うな富士,"
              かりっ→ふわっ→とろっの最強展開
            ",3.77,2620,29.67484323652924,5000.0,5000.0," 鶴舞駅 729m / うなぎ、海鮮
            ",https://tabelog.com/aichi/A2301/A230105/23000105/
23076153,鰻割烹まるぜん,,3.34,36,12.06046582823171,2000.0,3000.0," 伏見駅 363m / うなぎ、海鮮、日本料理
            ",https://tabelog.com/aichi/A2301/A230102/23076153/
23000161,鯛めし楼,"
              創業140余年を誇る老舗。選りすぐりの”鯛”を思う存分味わえる、名古屋『伏見』の隠れた料亭
            ",3.54,128,17.20373591144032,3000.0,20000.0," 伏見駅 118m / 海鮮、うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230102/23000161/
23077392,うな丼 うなふく,,3.35,40,12.440466423459432,2000.0,2000.0," 六番町駅 291m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230112/23077392/
23038051,東寿司,,3.23,43,12.222932517555982,1000.0,8000.0," 八事駅 42m / 寿司、うなぎ、天ぷら
            ",https://tabelog.com/aichi/A2301/A230108/23038051/
23000108,あつた蓬莱軒 松坂屋店,"
              【松坂屋名古屋店 南館10F】明治六年創業。140年以上守り続けた絶品ひつまぶしに舌鼓。
            ",3.73,2412,29.051575224781367,5000.0,6000.0," 矢場町駅 124m / うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230103/23000108/
23074831,昼だけうなぎ屋 栄本店,"
              みんなと大衆価格を約束した昼3時間半だけの鰻屋さん ♪
            ",3.52,311,20.215371221089377,2000.0,," 矢場町駅 450m / うなぎ
            ",https://tabelog.com/aichi/A2301/A230103/23074831/
23085326,炭火焼 鰻籠,,3.24,27,10.796342612967662,3000.0,4000.0," 太閤通駅 437m / うなぎ、日本料理、居酒屋
            ",https://tabelog.com/aichi/A2301/A230101/23085326/
23000109,あつた蓬莱軒 神宮店,"
              【伝馬町駅徒歩4分】明治六年創業、熟練の職人技で焼き上げた絶品ひつまぶしをお楽しみください
            ",3.74,1741,27.910831448722558,4000.0,4000.0," 熱田神宮伝馬町駅 244m / うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230112/23000109/
23000063,あつた蓬莱軒 本店,"
              明治6年創業の老舗。150年以上守り続ける伝統の味「ひつまぶし」を、風情溢れる和空間で堪能
            ",3.7,3620,30.319670386132874,4000.0,5000.0," 熱田神宮伝馬町駅 329m / うなぎ、日本料理、海鮮
            ",https://tabelog.com/aichi/A2301/A230112/23000063/
23014648,大徳,,3.19,13,8.418592881472675,2000.0,4000.0," 名古屋市中川区 / 寿司、うなぎ、ワインバー
            ",https://tabelog.com/aichi/A2301/A230113/23014648/
23032337,廣寿司本店 JR名古屋駅店,"
              創業 明治38年 ♪帰宅待つ家路に愛のにぎりすし♪
            ",3.39,193,17.858039159224685,1000.0,2000.0," 名古屋駅 63m / 寿司、郷土料理、うなぎ
            ",https://tabelog.com/aichi/A2301/A230101/23032337/
23080989,大衆鰻の店 うな大,"
              日頃からお値打ちに鰻を味わうお店♪
            ",3.44,83,15.242009788020997,2000.0,," 名古屋市緑区 / うなぎ
            ",https://tabelog.com/aichi/A2304/A230401/23080989/
23007929,あつた辨天,,3.42,132,16.724994018518398,2000.0,3000.0," 神宮前駅 100m / うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230112/23007929/
23080806,うなぎとそば うな蕎,"
              【2022.4.15オープン】本格派のうなぎとこだわりの蕎麦でおもてなし
            ",3.24,32,11.328684499151397,1000.0,2000.0," 小田井駅 551m / うなぎ、そば、天ぷら
            ",https://tabelog.com/aichi/A2301/A230113/23080806/
23081919,ひつまぶし 鰻伸,"
              【名古屋名物ひつまぶし】産地に拘らず、長年の経験から今一番美味い鰻を選んでおります。
            ",3.53,133,17.289374493826717,3000.0,3000.0," 大曽根駅 892m / うなぎ、日本料理
            ",https://tabelog.com/aichi/A2301/A230110/23081919/
